"Variable","Clases","Distribución"
"proto","OPCUA","OPCUA: 107633 (100%)"
"service","StartRawConnection, Attribute, SecureChannel, Session","StartRawConnection: 74029 (68.78%)
Attribute: 33515 (31.14%)
SecureChannel: 55 (0.05%)
Session: 34 (0.03%)"
"multi_label","DoS, Normal, Impersonation, MITM","DoS: 74012 (68.76%)
Normal: 33566 (31.19%)
Impersonation: 49 (0.05%)
MITM: 6 (0.01%)"
